user_id,community_label
124836,2
502887,1
2007-12-15 12:33:33,1
794230,1
534928,0
268072,2
499756,1
201168,1
1.0,1
371461,2
100248,2
1221508,0
154274,2
631825,3
2.0,1
16453,0
153248,2
236410,1
175050,1
1343004,0
316124,2
10.0,1
417817,0
85724,2
16787,1
5.0,1
1632839,3
1235343,0
216546,0
549285,3
16769,2
980724,1
614020,1
1937519,3
1298548,0
355330,1
847509,0
481265,0
1777646,4
695178,1
445375,1
325009,1
3.0,1
1486409,0
287150,1
1808873,3
193674,1
628506,1
339258,2
1053396,0
1471008,0
340968,2
681798,0
1221832,0
604657,4
794990,0
1328375,0
973167,0
1576615,4
155957,1
364317,0
282277,1
744546,1
1539229,4
958008,0
184221,2
777064,1
16454,0
1416526,4
1429852,0
431830,1
1016737,0
337638,2
579938,1
895871,1
1546477,0
1589636,0
520061,4
326107,1
862314,0
1322900,0
1422039,0
418421,1
1235251,0
1689430,4
731178,0
237689,2
412129,0
490778,0
106378,2
731519,0
1907989,3
1010228,0
50661,2
1447044,4
787633,0
1533095,4
283315,2
374805,1
1817158,4
1575716,4
1169120,0
163080,1
1290745,0
1603578,3
1405939,0
688779,1
371550,1
170654,2
778753,0
1073988,0
781623,0
376121,1
811980,0
342306,2
714705,1
813797,0
337545,1
1468388,4
518345,0
1250052,4
550093,1
16765,3
924898,0
476097,1
1694062,4
1357245,0
1051495,0
58567,2
1106307,0
35745,2
862257,0
331494,1
695793,1
440424,1
1359601,0
1941427,3
616886,1
719106,0
1707202,0
1470179,4
83696,2
476074,1
1223239,0
360732,1
995151,0
303876,0
542030,1
1342542,3
509803,1
1447028,3
788695,0
1618008,4
482765,0
542690,4
1840184,3
214872,2
1590214,4
1158767,0
1992995,3
345205,2
1166471,0
1844755,3
1092316,0
1725692,3
816470,4
1107204,4
146497,2
1067519,0
416097,0
1179181,4
1247500,0
1372876,4
16455,0
232857,2
897001,1
440580,1
109320,2
500977,1
1607846,3
663725,0
626587,1
22893,2
1450627,0
1474731,0
366816,2
1923023,3
535633,3
430398,1
170443,2
99245,2
20.0,1
1409053,0
911996,0
195329,2
444718,1
1604146,0
610111,1
909503,0
1862106,3
139528,2
1760358,4
609438,1
1779946,3
818168,1
690829,1
1461984,0
520925,4
458302,1
1052172,0
50.0,1
500029,1
282779,2
1257118,3
1315916,0
1548984,3
365157,1
238803,1
17262,2
709581,1
416321,1
385475,1
583326,1
1116950,4
642042,1
712005,1
1195411,0
976095,1
1247139,0
113082,2
749841,1
176090,1
1716665,4
1686213,4
1241013,0
327875,4
1756738,4
1067366,0
1397216,0
630574,1
659933,1
282325,2
359335,4
537215,1
1681001,4
933670,1
1360579,0
1311791,0
744051,1
1514913,4
1361251,3
154363,2
881542,1
814838,3
1041796,4
363784,1
787162,1
712166,1
913464,1
